Country,General,Current,Emerging,Underground
Thailand,spotify:playlist:6x247USFAE63nrWlqKnD4p,spotify:playlist:2BGKo45q7mizpXywVUkvqz,spotify:playlist:1NWNHsNXRDDZt9WszAWOvH,spotify:playlist:6UT7i5oz35rusDQgKSzO6V
Timor-Leste,spotify:playlist:0sLo1C9HzGJeb3LcaGtOv2,spotify:playlist:6gkjSAUUiiXBOGR6BvspZX,No playlist.,No playlist.
Togo,spotify:playlist:5W3BK6Fc1LBM06J74Ji60w,spotify:playlist:4Ih7kL6ntfbsqFH38Jli9F,No playlist.,No playlist.
Tonga,spotify:playlist:3sqKoBBPnmNv4TIxwnNmFO,spotify:playlist:00ronHAJg07Vl7nOKILhvL,No playlist.,No playlist.
Trinidad & Tobago,spotify:playlist:2ZhmmpyMdG0ppjEbSWomEI,spotify:playlist:0XaUDiflDKt5uAkgVg0XCg,No playlist.,No playlist.
Tunisia,spotify:playlist:2T9ESqYPUEamf7DjH86HbL,spotify:playlist:4Z64eT7if01Le0v4gwCkrE,spotify:playlist:1eHIudt3s6qiAvAcx3VQ3j,No playlist.
Turkey,spotify:playlist:5uRqXv91PEmJBE4zk4kLj0,spotify:playlist:5bHGHIZQG77cY0CsVdBsrD,spotify:playlist:3uzlHkxigVjtzSbWEGxZhq,spotify:playlist:5TsHryE1bqnP6l62i0uLqO
USA,spotify:playlist:5YeIpS04ZMVu7J1x6gEVEM,spotify:playlist:1XgvD2UvVrDWsfqca8Nun8,spotify:playlist:5NUlEw5SqTYmQc4nRlRHow,spotify:playlist:1Fb0WrTNUK52102jWj8XIY
Uganda,spotify:playlist:77NBR4kPA3ttFp320SWknU,spotify:playlist:5qUCSxPgGWtoVZFljW3QJ3,spotify:playlist:5YXq4r1rp7hxuVEqau2o10,No playlist.
Ukraine,spotify:playlist:7EOul78XvcMgeP46u9Npz6,spotify:playlist:6RFgtoOV0L5nCmZFWgkXK7,spotify:playlist:5sWjwlRovSsqdRGLcgy5qZ,spotify:playlist:2aawob230ZNszOE31JJbFU
United Arab Emirates,spotify:playlist:7jxS6qktI2dghrBikUZmx5,spotify:playlist:40O85w5a0jp6V52t7aCNXR,spotify:playlist:1enuZV6MZ5eqXQBSMNNYWJ,spotify:playlist:1wSvbWtkQlLzcSFsOsyQNj
United Kingdom,spotify:playlist:4Ftkt8ReyAmpXUe45h751u,spotify:playlist:4LfbnJfeW2MU2iQknFay4x,spotify:playlist:2jB5kT2QXPPO2TFgaytp2e,spotify:playlist:4RBCCXIlc3XWq8HyVHir4h
Uruguay,spotify:playlist:57o3FLZLETf6F54gO6slQj,spotify:playlist:5C4JJ4NNDw160MJuB0GkKP,spotify:playlist:7JlXKHZg0O8aJ6SuAt8SpR,spotify:playlist:2ffy9pYN3OR6ta18sM7I4H
Uzbekistan,spotify:playlist:03sWZa8TZXMSE1leBd40FR,spotify:playlist:1dO9NkJrq74xMNKrf6kqj5,spotify:playlist:09OOwBOpO9Z8JsO810kurA,No playlist.
Vanuatu,spotify:playlist:1VoQFUCDl54FZFXlG0p6ds,spotify:playlist:4IOnQILR81w0odpRO1hrtP,No playlist.,No playlist.
Venezuela,spotify:playlist:2z9rzSYo8t7k0k0BNGXTxM,spotify:playlist:2Lj7ncycDGwj2Vyq824ytg,spotify:playlist:7MVXLiyVlyXsmkBZrKjRy2,No playlist.
Vietnam,spotify:playlist:0mG30XjV49dzw8rcp5Mj93,spotify:playlist:2ofqgcGVYYnBcpnsk3aW25,spotify:playlist:0v0iNJgxTk7s1Oicluvycw,spotify:playlist:2urzTMOSeEcoBFFGnKwP0Z
Zambia,spotify:playlist:5TT1XD8DWBNFar8lXIPLJI,spotify:playlist:7xclBK2OSDHBJTAFL6yXWH,spotify:playlist:5f9TOiTYEwQvbLZ9vSdLL3,spotify:playlist:2THafxa96RmGBItfUX1YaI
Zimbabwe,spotify:playlist:6ulstSy5IViD3lFCODNeiP,spotify:playlist:4EfovbEZE9xhjOxn7HMQJ1,spotify:playlist:0JDzEdae0H6CbIJM4K4ihA,No playlist.
